row_id,uplift_hat,rank
11786,267.8696000000008,1
13574,235.2794666666664,2
8911,164.67,3
9527,146.3733333333333,4
10755,136.22116666666668,5
10271,122.00530000000028,6
3177,120.40623333333332,7
7190,116.43333333333334,8
9130,114.02533333333308,9
11706,105.17996666666666,10
5252,104.16943333333307,11
4414,103.7265333333332,12
6539,101.07516666666668,13
9840,89.13926666666666,14
9476,82.19306666666651,15
12476,77.63686666666666,16
12134,76.01883333333319,17
5599,73.47173333333333,18
8052,72.67076666666667,19
6703,72.18156666666646,20
1469,70.37933333333324,21
12124,70.33383333333333,22
13238,69.6282666666666,23
3915,69.50466666666667,24
3695,68.95610000000003,25
1392,67.08826666666651,26
11420,66.10166666666669,27
5180,65.7119999999999,28
11803,62.82270000000001,29
15352,62.61186666666665,30
12425,61.45100000000001,31
4341,59.27569999999999,32
2220,59.241766666666805,33
9383,57.89853333333336,34
1802,56.58916666666666,35
4758,56.1819666666667,36
6724,54.89,37
10223,52.26399999999995,38
10791,51.74649999999997,39
7563,50.024566666666686,40
7232,47.35000000000007,41
5759,46.81669907568426,42
5248,46.81669907568426,43
8068,46.81669907568426,44
3764,46.81669907568426,45
12180,46.81669907568426,46
15170,46.81669907568426,47
14868,46.81669907568426,48
13299,46.61836666666668,49
12493,46.415699999999966,50
2248,46.18223333333342,51
13808,46.068399999999976,52
5173,45.750466666666654,53
722,45.70686666666669,54
3694,45.55946666666658,55
5223,45.36309999999997,56
3607,44.91,57
10363,44.49993333333337,58
1682,44.38276666666671,59
12601,44.17840000000005,60
425,43.79713333333329,61
13651,43.69946666666663,62
4987,43.58186666666669,63
7480,43.13250000000005,64
13962,42.90823333333341,65
13143,42.702083333333405,66
12568,42.41413333333328,67
3249,42.176000000000016,68
7451,41.88236015873016,69
4218,41.583333333333336,70
10754,41.583333333333336,71
210,41.450300000000006,72
4427,40.38659999999999,73
3005,40.27666666666665,74
452,40.1075,75
7341,40.02349999999996,76
2413,39.84,77
10075,39.26393333333337,78
7141,38.404766666666674,79
7300,38.31466666666668,80
12080,38.25666666666667,81
13443,37.916999999999966,82
7799,37.477700000000006,83
8043,37.42480000000004,84
3907,37.25806666666666,85
15508,35.583633333333324,86
