row_id,rank,uplift_hat,y1_hat,y0_hat,exp_incremental_revenue,exp_profit_per_contact
23393,1,331.00333333333333,331.00333333333333,0.0,331.00333333333333,99.251
40299,2,323.4460999999999,323.4460999999999,0.0,323.4460999999999,96.98382999999997
62199,3,317.69666666666666,317.69666666666666,0.0,317.69666666666666,95.259
26217,4,307.71666666666664,307.71666666666664,0.0,307.71666666666664,92.26499999999999
34866,5,307.71666666666664,307.71666666666664,0.0,307.71666666666664,92.26499999999999
46413,6,302.21593333333334,302.7266666666667,0.5107333333333334,302.21593333333334,90.61478
27860,7,292.74666666666667,292.74666666666667,0.0,292.74666666666667,87.774
10971,8,291.55139999999943,291.55139999999943,0.0,291.55139999999943,87.41541999999983
44141,9,279.7674666666662,279.7674666666662,0.0,279.7674666666662,83.88023999999987
49329,10,267.86960000000073,268.85320000000075,0.9835999999999999,267.86960000000073,80.31088000000022
51218,11,267.86960000000073,268.85320000000075,0.9835999999999999,267.86960000000073,80.31088000000022
2296,12,252.4005666666675,252.4005666666675,0.0,252.4005666666675,75.67017000000024
42993,13,250.0268999999992,250.0268999999992,0.0,250.0268999999992,74.95806999999975
36339,14,249.0933333333328,249.0933333333328,0.0,249.0933333333328,74.67799999999984
2256,15,239.77893333333327,239.77893333333327,0.0,239.77893333333327,71.88367999999998
53463,16,238.70586666666637,238.70586666666637,0.0,238.70586666666637,71.56175999999991
31121,17,235.27946666666637,235.27946666666637,0.0,235.27946666666637,70.53383999999991
44782,18,227.33333333333334,227.33333333333334,0.0,227.33333333333334,68.15
62252,19,222.39359999999968,222.39359999999968,0.0,222.39359999999968,66.6680799999999
56901,20,219.36626666666717,219.36626666666717,0.0,219.36626666666717,65.75988000000015
21630,21,214.35679999999954,214.35679999999954,0.0,214.35679999999954,64.25703999999986
43883,22,214.21786666666637,214.9167999999997,0.6989333333333334,214.21786666666637,64.2153599999999
33221,23,205.9851666666662,205.9851666666662,0.0,205.9851666666662,61.74554999999986
7128,24,204.59,204.59,0.0,204.59,61.327
30172,25,195.75066666666746,195.75066666666746,0.0,195.75066666666746,58.67520000000024
42521,26,193.48290000000097,193.48290000000097,0.0,193.48290000000097,57.99487000000029
12142,27,190.90633333333395,190.90633333333395,0.0,190.90633333333395,57.22190000000018
57671,28,189.5300666666659,189.5300666666659,0.0,189.5300666666659,56.80901999999977
52905,29,180.9868666666674,180.9868666666674,0.0,180.9868666666674,54.24606000000022
24088,30,174.3650999999994,174.3650999999994,0.0,174.3650999999994,52.25952999999982
25563,31,173.7099000000006,173.7099000000006,0.0,173.7099000000006,52.062970000000185
